ip范围	位置
202.38.135.0-202.38.135.255	上海市 上海交通大学
202.112.26.0-202.112.26.255	上海交通大学
202.120.0.0-202.120.0.255	上海交通大学
202.120.1.0-202.120.1.255	上海交通大学 计算中心
202.120.2.0-202.120.2.255	上海交通大学 网络中心
202.120.3.0-202.120.3.255	上海交通大学 浩然
202.120.4.0-202.120.4.255	上海交通大学 总办公厅
202.120.5.0-202.120.5.20	上海交通大学 教三
202.120.5.21	上海交通大学 包兆龙图书馆西厅
202.120.5.22-202.120.5.255	上海交通大学 教三
202.120.6.0-202.120.6.14	上海交通大学 教三/制冷实验室/模具所/塑性成形
202.120.6.15	上海交通大学 纳米科学与技术工程中心
202.120.6.16-202.120.6.35	上海交通大学 教三/制冷实验室/模具所/塑性成形
202.120.6.36	上海交通大学 数据实验室
202.120.6.37-202.120.6.38	上海交通大学 教三楼信息安全实验室
202.120.6.39-202.120.6.255	上海交通大学 教三/制冷实验室/模具所/塑性成形
202.120.7.0-202.120.8.255	上海交通大学 浩然
202.120.9.0-202.120.9.49	上海交通大学 新上院
202.120.9.50	上海交通大学 新上院101
202.120.9.51-202.120.9.255	上海交通大学 新上院
202.120.10.0-202.120.10.84	上海交通大学 工程馆
202.120.10.85	上海交通大学 机械楼
202.120.10.86-202.120.11.255	上海交通大学 工程馆
202.120.12.0-202.120.12.255	上海交通大学 海洋实验室
202.120.13.0-202.120.13.255	上海交通大学 本部图书馆
202.120.14.0-202.120.14.255	上海交通大学 科学馆
202.120.15.0-202.120.15.255	上海交通大学
202.120.16.0-202.120.16.255	上海交通大学 教二
202.120.17.0-202.120.17.255	上海交通大学 国际教育学院
202.120.18.0-202.120.18.255	上海交通大学 教一
202.120.19.0-202.120.19.6	上海交通大学
202.120.19.7	上海交通大学 内燃机研究所
202.120.19.8-202.120.19.66	上海交通大学
202.120.19.67	上海交通大学 汽车电子研究所
202.120.19.68-202.120.19.255	上海交通大学
202.120.20.0-202.120.20.255	上海交通大学 高电压实验室/物资仓库
202.120.21.0-202.120.21.255	上海交通大学
202.120.22.0-202.120.22.255	上海交通大学 中院(徐家汇)
202.120.23.0-202.120.24.255	上海交通大学
202.120.25.0-202.120.25.255	上海交通大学 教三
202.120.26.0-202.120.26.255	上海交通大学 南洋实业
202.120.27.0-202.120.27.255	上海交通大学 出版社
202.120.28.0-202.120.28.230	上海交通大学闵行校区 第7/8宿舍(法华)
202.120.28.231-202.120.29.255	上海交通大学
202.120.30.0-202.120.30.255	上海交通大学 技术学院
202.120.31.0-202.120.33.255	上海交通大学
202.120.34.0-202.120.34.255	上海交通大学 网络学院/新上院
202.120.35.0-202.120.36.212	上海交通大学
202.120.36.213	上海交通大学 电院2号楼
202.120.36.214-202.120.36.244	上海交通大学
202.120.36.245	上海交通大学 电院1号楼530
202.120.36.246-202.120.36.255	上海交通大学
202.120.37.0-202.120.37.255	上海交通大学 电信学院大楼2号楼
202.120.38.0-202.120.38.255	上海交通大学 电院三号楼
202.120.39.0-202.120.39.247	上海交通大学 闵行校区电院群楼
202.120.39.248	上海交通大学 电信学院5号楼202
202.120.39.249-202.120.39.255	上海交通大学 闵行校区电院群楼
202.120.40.0-202.120.40.64	上海交通大学 软件学院
202.120.40.65	上海交通大学 软件工程计算中心
