ip范围	位置
211.80.38.0-211.80.38.165	上海交通大学 番禺大厦
211.80.38.166	上海交通大学 教育部高温材料与高温测试重点实验室
211.80.38.167-211.80.39.255	上海交通大学 番禺大厦
211.80.40.0-211.80.40.255	上海交通大学
211.80.41.0-211.80.41.84	上海交通大学 徐汇区3号楼
211.80.41.85	上海交通大学 徐汇校区3号楼409
211.80.41.86-211.80.41.96	上海交通大学 徐汇区3号楼
211.80.41.97	上海交通大学 徐汇校区3号楼414
211.80.41.98-211.80.41.136	上海交通大学 徐汇区3号楼
211.80.41.137	上海交通大学 研3号楼318
211.80.41.138-211.80.41.147	上海交通大学 徐汇区3号楼
211.80.41.148	上海交通大学 研究生3号楼318
211.80.41.149-211.80.42.38	上海交通大学 徐汇校区3号楼
211.80.42.39	上海交通大学 徐汇校区3号楼307
211.80.42.40-211.80.42.78	上海交通大学 徐汇校区3号楼
211.80.42.79	上海交通大学 徐汇校区3号楼406
211.80.42.80-211.80.42.101	上海交通大学 徐汇校区3号楼
211.80.42.102	上海交通大学 徐汇小区3号楼416
211.80.42.103-211.80.42.255	上海交通大学 徐汇校区3号楼
211.80.43.0-211.80.43.255	上海交通大学
211.80.44.0-211.80.44.255	上海交通大学 徐汇校区
211.80.45.0-211.80.45.78	上海交通大学
211.80.45.79	上海交通大学 本部研9号楼316
211.80.45.80-211.80.45.255	上海交通大学
211.80.46.0-211.80.46.255	上海交通大学 执信西斋
211.80.47.0-211.80.47.255	上海交通大学 番禺大厦
211.80.48.0-211.80.48.255	上海交通大学
211.80.49.0-211.80.49.255	上海交通大学 番禺大厦
211.80.50.0-211.80.50.3	上海交通大学 南11幢
211.80.50.4	上海交通大学闵行校区 南11-108
211.80.50.5-211.80.51.2	上海交通大学 徐汇校区5号楼
211.80.51.3	上海交通大学 徐汇校区5号楼219
211.80.51.4-211.80.51.8	上海交通大学 徐汇校区5号楼
211.80.51.9-211.80.51.31	上海交通大学 南13幢
211.80.51.32	上海交通大学 南区13幢614
211.80.51.33-211.80.51.40	上海交通大学 南13幢
211.80.51.41	上海交通大学 南区13幢609室
211.80.51.42-211.80.51.70	上海交通大学 南13幢
211.80.51.71	上海交通大学 南区13幢617
211.80.51.72-211.80.51.210	上海交通大学 南13幢
211.80.51.211	上海交通大学 南14-304
211.80.51.212-211.80.51.255	上海交通大学 南13幢
211.80.52.0-211.80.52.19	上海交通大学 S15/16幢
211.80.52.20	上海交通大学 南区15幢301
211.80.52.21-211.80.52.45	上海交通大学 S15/16幢
211.80.52.46	上海交通大学 南区15幢306
211.80.52.47-211.80.52.50	上海交通大学 S15/16幢
211.80.52.51	上海交通大学 南区15幢304
211.80.52.52-211.80.52.64	上海交通大学 S15/16幢
211.80.52.65	上海交通大学 南区15幢307
211.80.52.66	上海交通大学 南区15幢303
211.80.52.67-211.80.52.71	上海交通大学 S15/16幢
211.80.52.72	上海交通大学 南区15幢301
211.80.52.73-211.80.52.75	上海交通大学 S15/16幢
211.80.52.76	上海交通大学 南区15幢306
211.80.52.77	上海交通大学闵行校区 S16-502
211.80.52.78-211.80.52.112	上海交通大学 S15/16幢
211.80.52.113	上海交通大学 南区16-204
211.80.52.114-211.80.52.128	上海交通大学 S15/16幢
211.80.52.129	上海交通大学 南区16-203
211.80.52.130-211.80.52.136	上海交通大学 S15/16幢
211.80.52.137	上海交通大学 S16幢-601
211.80.52.138-211.80.52.141	上海交通大学 S15/16幢
211.80.52.142	上海交通大学闵行校区 S16-604
211.80.52.143-211.80.52.188	上海交通大学 S15/16幢
211.80.52.189	上海交通大学 S16-204
211.80.52.190-211.80.52.211	上海交通大学 S15/16幢
211.80.52.212	上海交通大学闵行校区 S16-403
211.80.52.213-211.80.52.255	上海交通大学 S15/16幢
211.80.53.0-211.80.53.147	上海交通大学
211.80.53.148	上海交通大学闵行校区 S18楼
211.80.53.149-211.80.53.166	上海交通大学
211.80.53.167	上海交通大学闵行校区 S18栋
211.80.53.168-211.80.53.255	上海交通大学
211.80.54.0-211.80.54.255	上海交通大学闵行校区 N25栋
211.80.55.0-211.80.55.255	上海交通大学闵行校区 S21/22栋
211.80.56.0-211.80.56.2	上海交通大学闵行校区 S23/24栋
211.80.56.3	上海交通大学闵行校区 S23-501
211.80.56.4-211.80.56.8	上海交通大学闵行校区 S23/24栋
211.80.56.9	上海交通大学闵行校区 S23-502
211.80.56.10	上海交通大学闵行校区 南区23-505
211.80.56.11-211.80.56.20	上海交通大学闵行校区 S23/24栋
211.80.56.21	上海交通大学闵行校区 S23-503
211.80.56.22-211.80.56.29	上海交通大学闵行校区 S23/24栋
211.80.56.30	上海交通大学闵行校区 S27栋
211.80.56.31-211.80.56.42	上海交通大学闵行校区 S23/24栋
211.80.56.43	上海交通大学闵行校区 S23-215
211.80.56.44-211.80.56.47	上海交通大学闵行校区 S23/24栋
211.80.56.48	上海交通大学闵行校区 S23-317
211.80.56.49	上海交通大学闵行校区 S23/24栋
211.80.56.50	上海交通大学闵行校区 S23-315
211.80.56.51	上海交通大学闵行校区 S23/24栋
211.80.56.52	上海交通大学闵行校区 S23-316
211.80.56.53-211.80.56.66	上海交通大学闵行校区 S23/24栋
211.80.56.67	上海交通大学闵行校区 S23-106
211.80.56.68-211.80.56.75	上海交通大学闵行校区 S23/24栋
211.80.56.76	上海交通大学闵行校区 S23-216
211.80.56.77-211.80.56.87	上海交通大学闵行校区 S23/24栋
211.80.56.88	上海交通大学闵行校区 S23-102
211.80.56.89-211.80.56.90	上海交通大学闵行校区 S23/24栋
211.80.56.91	上海交通大学闵行校区 S23-108
211.80.56.92-211.80.56.255	上海交通大学闵行校区 S23/24栋
211.80.57.0-211.80.57.128	上海交通大学闵行校区 第4宿舍
211.80.57.129-211.80.57.255	上海交通大学闵行校区 第5宿舍
211.80.58.0-211.80.58.255	上海交通大学闵行校区 北26-28栋
211.80.59.0-211.80.59.56	上海交通大学闵行校区 北29-30幢
211.80.59.57	上海交通大学闵行校区 北29幢508
211.80.59.58-211.80.59.158	上海交通大学闵行校区 北29-30幢
211.80.59.159	上海交通大学闵行校区 北区30-407
211.80.59.160-211.80.59.182	上海交通大学闵行校区 北29-30幢
211.80.59.183	上海交通大学闵行校区 北区30-407
211.80.59.184-211.80.59.255	上海交通大学闵行校区 北29-30幢
211.80.60.0-211.80.60.255	上海交通大学闵行校区 北区D31
211.80.61.0-211.80.61.18	上海交通大学闵行校区 S32
211.80.61.19	上海交通大学闵行校区 S32-205
211.80.61.20-211.80.61.255	上海交通大学闵行校区 S32
211.80.62.0-211.80.62.255	上海交通大学
211.80.63.0-211.80.63.255	上海交通大学 北34
211.80.64.0-211.80.65.255	上海交通大学
211.80.80.0-211.80.80.7	上海交通大学闵行校区 D1
211.80.80.8	上海交通大学闵行校区 D1-407
211.80.80.9-211.80.80.18	上海交通大学闵行校区 D1
211.80.80.19	上海交通大学闵行校区 D1-110
211.80.80.20-211.80.80.30	上海交通大学闵行校区 D1
211.80.80.31	上海交通大学闵行校区 D11-101
211.80.80.32-211.80.80.46	上海交通大学闵行校区 D1
211.80.80.47	上海交通大学闵行校区 D11-626
211.80.80.48-211.80.80.61	上海交通大学闵行校区 D1
211.80.80.62	上海交通大学闵行校区 D1-626
211.80.80.63-211.80.80.86	上海交通大学闵行校区 D1
211.80.80.87	上海交通大学闵行校区 D1-423
211.80.80.88-211.80.80.138	上海交通大学闵行校区 D1
211.80.80.139	上海交通大学闵行校区 D1-214
211.80.80.140	上海交通大学闵行校区 D01-704
211.80.80.141	上海交通大学闵行校区 D1
211.80.80.142	上海交通大学闵行校区 D1-210
211.80.80.143-211.80.80.255	上海交通大学闵行校区 D1
211.80.81.0-211.80.81.255	上海交通大学闵行校区 校园无线网络
211.80.82.0-211.80.82.32	上海交通大学闵行校区 D3/D4/D6
211.80.82.33	上海交通大学闵行校区 D3-106
211.80.82.34-211.80.82.136	上海交通大学闵行校区 D3/D4/D6
211.80.82.137	上海交通大学闵行校区 D6-106
211.80.82.138-211.80.82.255	上海交通大学闵行校区 D3/D4/D6
211.80.83.0-211.80.83.100	上海交通大学闵行校区 D8
211.80.83.101-211.80.83.190	上海交通大学闵行校区 D9
211.80.83.191-211.80.83.222	上海交通大学闵行校区 D10
211.80.83.223	上海交通大学闵行校区 D1-102
211.80.83.224-211.80.83.255	上海交通大学闵行校区 D10
211.80.84.0-211.80.84.255	上海交通大学闵行校区 D11/D12
211.80.85.0	上海交通大学闵行校区 D13
211.80.85.1	上海交通大学闵行校区 D13-701
211.80.85.2-211.80.85.52	上海交通大学闵行校区 D13
211.80.85.53	上海交通大学闵行校区 D13-304
211.80.85.54	上海交通大学闵行校区 D13-307
211.80.85.55-211.80.85.197	上海交通大学闵行校区 D13/D14
211.80.85.198	上海交通大学闵行校区 D14-601
211.80.85.199-211.80.85.219	上海交通大学闵行校区 D13/D14
211.80.85.220	上海交通大学闵行校区 D14-605
211.80.85.221-211.80.85.255	上海交通大学闵行校区 D13/D14
211.80.86.0-211.80.87.255	上海交通大学闵行校区
211.80.88.0-211.80.88.7	上海交通大学闵行校区 D15
211.80.88.8	上海交通大学闵行校区 D15-307
211.80.88.9-211.80.88.13	上海交通大学闵行校区 D15
211.80.88.14	上海交通大学闵行校区 D15-319
211.80.88.15	上海交通大学闵行校区 D15
211.80.88.16	上海交通大学闵行校区 东区15幢211
211.80.88.17-211.80.88.43	上海交通大学闵行校区 D15
211.80.88.44	上海交通大学闵行校区 D15-212
211.80.88.45-211.80.88.75	上海交通大学闵行校区 D15
211.80.88.76	上海交通大学闵行校区 D16-305
211.80.88.77	上海交通大学闵行校区 D16-410
211.80.88.78-211.80.88.80	上海交通大学闵行校区 D15
211.80.88.81	上海交通大学闵行校区 D15-215
211.80.88.82-211.80.88.87	上海交通大学闵行校区 D15
211.80.88.88	上海交通大学闵行校区 D15-214
211.80.88.89	上海交通大学闵行校区 D15-911
211.80.88.90-211.80.88.99	上海交通大学闵行校区 D15
211.80.88.100	上海交通大学闵行校区 D15-812
211.80.88.101-211.80.88.109	上海交通大学闵行校区 D15
211.80.88.110	上海交通大学闵行校区 D16-408
211.80.88.111-211.80.88.127	上海交通大学闵行校区 D15
211.80.88.128	上海交通大学闵行校区 D15-118
211.80.88.129-211.80.88.150	上海交通大学闵行校区 D15
211.80.88.151	上海交通大学闵行校区 D15-506
211.80.88.152-211.80.88.168	上海交通大学闵行校区 D15
211.80.88.169-211.80.88.170	上海交通大学闵行校区 D15-209
211.80.88.171-211.80.88.183	上海交通大学闵行校区 D15
211.80.88.184	上海交通大学闵行校区 D15-211
211.80.88.185-211.80.88.195	上海交通大学闵行校区 D15
211.80.88.196	上海交通大学闵行校区 D15-320
211.80.88.197-211.80.88.255	上海交通大学闵行校区 D15
211.80.89.0-211.80.89.78	上海交通大学闵行校区 D16
211.80.89.79	上海交通大学闵行校区 D16-000
211.80.89.80-211.80.89.81	上海交通大学闵行校区 D16
211.80.89.82	上海交通大学闵行校区 D16-102
211.80.89.83-211.80.89.119	上海交通大学闵行校区 D16
211.80.89.120	上海交通大学闵行校区 D16-201
211.80.89.121-211.80.89.145	上海交通大学闵行校区 D16
211.80.89.146	上海交通大学闵行校区 D16-205
211.80.89.147-211.80.89.150	上海交通大学闵行校区 D16
211.80.89.151	上海交通大学闵行校区 D16-203
211.80.89.152-211.80.89.163	上海交通大学闵行校区 D16
211.80.89.164	上海交通大学闵行校区 D16-220
211.80.89.165-211.80.89.179	上海交通大学闵行校区 D16
211.80.89.180	上海交通大学闵行校区 D16-222室
211.80.89.181-211.80.89.255	上海交通大学闵行校区 D16
211.80.90.0-211.80.90.4	上海交通大学闵行校区 D17
211.80.90.5	上海交通大学闵行校区 D17-114
211.80.90.6	上海交通大学闵行校区 D17
211.80.90.7	上海交通大学闵行校区 D17-402
211.80.90.8-211.80.90.13	上海交通大学闵行校区 D17
211.80.90.14	上海交通大学闵行校区 D17-405
211.80.90.15-211.80.90.27	上海交通大学闵行校区 D17
211.80.90.28	上海交通大学闵行校区 D17-501
211.80.90.29-211.80.90.43	上海交通大学闵行校区 D17
211.80.90.44	上海交通大学闵行校区 D17-504
211.80.90.45-211.80.90.63	上海交通大学闵行校区 D17
211.80.90.64	上海交通大学闵行校区 D17-503
211.80.90.65-211.80.90.67	上海交通大学闵行校区 D17
211.80.90.68	上海交通大学闵行校区 d17-209
211.80.90.69-211.80.90.70	上海交通大学闵行校区 D17
211.80.90.71	上海交通大学闵行校区 D17-404
211.80.90.72-211.80.90.73	上海交通大学闵行校区 D17
211.80.90.74	上海交通大学闵行校区 D17-305
211.80.90.75	上海交通大学闵行校区 D17
211.80.90.76	上海交通大学闵行校区 D17-401
211.80.90.77-211.80.90.95	上海交通大学闵行校区 D17
211.80.90.96-211.80.90.120	上海交通大学闵行校区 D18
211.80.90.121	上海交通大学闵行校区 D18-413
211.80.90.122	上海交通大学闵行校区 D18
211.80.90.123	上海交通大学闵行校区 D18-122
211.80.90.124-211.80.90.133	上海交通大学闵行校区 D18
211.80.90.134	上海交通大学闵行校区 D18-204
211.80.90.135-211.80.90.152	上海交通大学闵行校区 D18
211.80.90.153	上海交通大学闵行校区 D18-505
211.80.90.154-211.80.90.158	上海交通大学闵行校区 D18
211.80.90.159	上海交通大学闵行校区 D18-459
211.80.90.160	上海交通大学闵行校区 D18-412
211.80.90.161	上海交通大学闵行校区 D18-425
211.80.90.162-211.80.90.255	上海交通大学闵行校区 D18
211.80.91.0-211.80.91.32	上海交通大学闵行校区 D19
211.80.91.33	上海交通大学闵行校区 D19-126
211.80.91.34-211.80.91.38	上海交通大学闵行校区 D19
211.80.91.39	上海交通大学闵行校区 D-19栋618
211.80.91.40-211.80.91.44	上海交通大学闵行校区 D19
211.80.91.45	上海交通大学闵行校区 D19-629
211.80.91.46-211.80.91.58	上海交通大学闵行校区 D19
211.80.91.59	上海交通大学闵行校区 D19-109
211.80.91.60	上海交通大学闵行校区 D19-111
211.80.91.61-211.80.91.63	上海交通大学闵行校区 D19
211.80.91.64	上海交通大学闵行校区 D19-127
211.80.91.65-211.80.91.86	上海交通大学闵行校区 D19
211.80.91.87	上海交通大学闵行校区 D19-414
211.80.91.88-211.80.91.132	上海交通大学闵行校区 D19
211.80.91.133	上海交通大学闵行校区 D19-321
211.80.91.134-211.80.91.135	上海交通大学闵行校区 D19
211.80.91.136	上海交通大学闵行校区 东19楼323
211.80.91.137-211.80.91.139	上海交通大学闵行校区 D19
211.80.91.140	上海交通大学闵行校区 D19-331
211.80.91.141	上海交通大学闵行校区 D19-418
211.80.91.142-211.80.91.145	上海交通大学闵行校区 D19
211.80.91.146	上海交通大学闵行校区 D19-330
211.80.91.147	上海交通大学闵行校区 D19
211.80.91.148	上海交通大学闵行校区 D19-110
211.80.91.149-211.80.91.153	上海交通大学闵行校区 D19
211.80.91.154	上海交通大学闵行校区 D19-335
211.80.91.155-211.80.91.165	上海交通大学闵行校区 D19
211.80.91.166	上海交通大学闵行校区 D19-322
211.80.91.167	上海交通大学闵行校区 D19
211.80.91.168	上海交通大学闵行校区 D19-319
211.80.91.169-211.80.91.175	上海交通大学闵行校区 D19
211.80.91.176	上海交通大学闵行校区 D19-336
211.80.91.177-211.80.91.178	上海交通大学闵行校区 D19
211.80.91.179	上海交通大学闵行校区 D19-333
211.80.91.180-211.80.91.182	上海交通大学闵行校区 D19
211.80.91.183	上海交通大学闵行校区 D19-332
211.80.91.184-211.80.91.185	上海交通大学闵行校区 D19
211.80.91.186	上海交通大学闵行校区 D19-125
211.80.91.187	上海交通大学闵行校区 D19
211.80.91.188	上海交通大学闵行校区 D19-420
211.80.91.189-211.80.91.255	上海交通大学闵行校区 D19
211.80.92.0-211.80.95.255	上海交通大学闵行校区
218.193.176.0-218.193.176.100	上海交通大学闵行校区 D-20楼
218.193.176.101	上海交通大学闵行校区 D20-318
218.193.176.102-218.193.176.136	上海交通大学闵行校区 D-20楼
218.193.176.137	上海交通大学闵行校区 D-21楼
218.193.176.138	上海交通大学闵行校区 D-20楼
218.193.176.139	上海交通大学闵行校区 D20-417
218.193.176.140-218.193.176.155	上海交通大学闵行校区 D-20楼
218.193.176.156	上海交通大学闵行校区 D-20_504
218.193.176.157-218.193.176.158	上海交通大学闵行校区 D-20楼
218.193.176.159	上海交通大学闵行校区 D20-506
218.193.176.160-218.193.176.172	上海交通大学闵行校区 D-20楼
218.193.176.173	上海交通大学闵行校区 D20-513
218.193.176.174-218.193.176.194	上海交通大学闵行校区 D-20楼
218.193.176.195	上海交通大学闵行校区 D-20楼603
218.193.176.196-218.193.176.222	上海交通大学闵行校区 D-20楼
218.193.176.223	上海交通大学闵行校区 D-20楼617
218.193.176.224-218.193.176.255	上海交通大学闵行校区 D-20楼
218.193.177.0-218.193.177.255	上海交通大学闵行校区 D-21楼
218.193.178.0-218.193.178.4	上海交通大学闵行校区 D22
218.193.178.5	上海交通大学闵行校区 D22-103
218.193.178.6-218.193.178.10	上海交通大学闵行校区 D22
218.193.178.11	上海交通大学闵行校区 D22-106
218.193.178.12-218.193.178.18	上海交通大学闵行校区 D22
218.193.178.19	上海交通大学闵行校区 D22-506
218.193.178.20-218.193.178.67	上海交通大学闵行校区 D22
218.193.178.68	上海交通大学闵行校区 D22-321
218.193.178.69	上海交通大学闵行校区 D22-606
218.193.178.70-218.193.178.83	上海交通大学闵行校区 D22
218.193.178.84	上海交通大学闵行校区 D22-211
218.193.178.85-218.193.178.136	上海交通大学闵行校区 D22
218.193.178.137	上海交通大学闵行校区 D22-416
218.193.178.138-218.193.178.156	上海交通大学闵行校区 D22
218.193.178.157	上海交通大学闵行校区 D22-505
218.193.178.158	上海交通大学闵行校区 D22
218.193.178.159	上海交通大学闵行校区 D22-506
218.193.178.160-218.193.178.200	上海交通大学闵行校区 D22
218.193.178.201	上海交通大学闵行校区 D22-606
218.193.178.202-218.193.178.206	上海交通大学闵行校区 D22
218.193.178.207	上海交通大学闵行校区 D22-609
218.193.178.208-218.193.178.255	上海交通大学闵行校区 D22
218.193.179.0-218.193.179.2	上海交通大学闵行校区 D23
218.193.179.3	上海交通大学闵行校区 D23-102
218.193.179.4	上海交通大学闵行校区 D23
218.193.179.5	上海交通大学闵行校区 D23-103
218.193.179.6	上海交通大学闵行校区 D23
218.193.179.7	上海交通大学闵行校区 D23-104
218.193.179.8-218.193.179.12	上海交通大学闵行校区 D23
218.193.179.13	上海交通大学闵行校区 D23-107
218.193.179.14-218.193.179.27	上海交通大学闵行校区 D23
218.193.179.28	上海交通大学闵行校区 D23-103
218.193.179.29-218.193.179.55	上海交通大学闵行校区 D23
218.193.179.56	上海交通大学闵行校区 D23-107
218.193.179.57-218.193.179.62	上海交通大学闵行校区 D23
218.193.179.63	上海交通大学闵行校区 D23-309
218.193.179.64-218.193.179.110	上海交通大学闵行校区 D23
218.193.179.111	上海交通大学闵行校区 D23-501
218.193.179.112	上海交通大学闵行校区 D23
218.193.179.113	上海交通大学闵行校区 D23-502
218.193.179.114	上海交通大学闵行校区 D23
218.193.179.115	上海交通大学闵行校区 D23-503
218.193.179.116	上海交通大学闵行校区 D23
218.193.179.117	上海交通大学闵行校区 D23-504
218.193.179.118	上海交通大学闵行校区 D23
218.193.179.119	上海交通大学闵行校区 D23-505
218.193.179.120	上海交通大学闵行校区 D23
218.193.179.121	上海交通大学闵行校区 D23-506
218.193.179.122	上海交通大学闵行校区 D23
218.193.179.123	上海交通大学闵行校区 D23-507
218.193.179.124	上海交通大学闵行校区 D23
218.193.179.125	上海交通大学闵行校区 D23-508
218.193.179.126	上海交通大学闵行校区 D23
218.193.179.127	上海交通大学闵行校区 D23-509
218.193.179.128	上海交通大学闵行校区 D23
218.193.179.129	上海交通大学闵行校区 D23-510
218.193.179.130	上海交通大学闵行校区 D23
218.193.179.131	上海交通大学闵行校区 D23-511
218.193.179.132	上海交通大学闵行校区 D23
218.193.179.133	上海交通大学闵行校区 D23-512
218.193.179.134	上海交通大学闵行校区 D23
218.193.179.135	上海交通大学闵行校区 D23-513
218.193.179.136-218.193.179.150	上海交通大学闵行校区 D23
218.193.179.151	上海交通大学闵行校区 D23-605
218.193.179.152-218.193.179.255	上海交通大学闵行校区 D23
218.193.180.0-218.193.180.35	上海交通大学闵行校区 D24
218.193.180.36-218.193.180.38	上海交通大学闵行校区 D24楼321
218.193.180.39-218.193.180.132	上海交通大学闵行校区 D24
218.193.180.133	上海交通大学闵行校区 D24-414
218.193.180.134	上海交通大学闵行校区 D24
218.193.180.135	上海交通大学闵行校区 D24-415
218.193.180.136-218.193.180.151	上海交通大学闵行校区 D24
218.193.180.152-218.193.180.154	上海交通大学闵行校区 D26楼312
218.193.180.155	上海交通大学闵行校区 D24-504
218.193.180.156-218.193.180.255	上海交通大学闵行校区 D24
218.193.181.0-218.193.181.255	上海交通大学闵行校区 校园无线网
218.193.182.0-218.193.182.255	上海交通大学闵行校区 D26
218.193.183.0-218.193.183.3	上海交通大学闵行校区 D27
218.193.183.4	上海交通大学闵行校区 D27-205
218.193.183.5	上海交通大学闵行校区 D26-110
218.193.183.6-218.193.183.8	上海交通大学闵行校区 D27
218.193.183.9	上海交通大学闵行校区 D27-323
218.193.183.10-218.193.183.16	上海交通大学闵行校区 D27
218.193.183.17	上海交通大学闵行校区 D27-109
218.193.183.18-218.193.183.34	上海交通大学闵行校区 D27
218.193.183.35	上海交通大学闵行校区 D27-707
218.193.183.36-218.193.183.38	上海交通大学闵行校区 D27
218.193.183.39	上海交通大学闵行校区 D27-205
218.193.183.40-218.193.183.42	上海交通大学闵行校区 D27/D26
218.193.183.43-218.193.183.44	上海交通大学闵行校区 D27-207
218.193.183.45-218.193.183.47	上海交通大学闵行校区 D27/D26
218.193.183.48	上海交通大学闵行校区 D27-209
218.193.183.49-218.193.183.50	上海交通大学闵行校区 D27/D26
218.193.183.51	上海交通大学闵行校区 D27-211
218.193.183.52	上海交通大学闵行校区 D27/D26
218.193.183.53-218.193.183.54	上海交通大学闵行校区 D27-212
218.193.183.55-218.193.183.59	上海交通大学闵行校区 D27/D26
218.193.183.60	上海交通大学闵行校区 D27-254
218.193.183.61	上海交通大学闵行校区 D27-255
218.193.183.62	上海交通大学闵行校区 D27/D26
218.193.183.63	上海交通大学闵行校区 D27-217
218.193.183.64-218.193.183.73	上海交通大学闵行校区 D27/D26
218.193.183.74	上海交通大学闵行校区 D27-222
218.193.183.75-218.193.183.78	上海交通大学闵行校区 D27/D26
218.193.183.79	上海交通大学闵行校区 D27-225
218.193.183.80-218.193.183.86	上海交通大学闵行校区 D27/D26
218.193.183.87	上海交通大学闵行校区 D27-304
218.193.183.88-218.193.183.90	上海交通大学闵行校区 D27/D26
218.193.183.91	上海交通大学闵行校区 D27-112
218.193.183.92-218.193.183.112	上海交通大学闵行校区 D27/D26
218.193.183.113	上海交通大学闵行校区 D27-317
218.193.183.114	上海交通大学闵行校区 D27/D26
218.193.183.115	上海交通大学闵行校区 D27-318
218.193.183.116	上海交通大学闵行校区 D27/D26
218.193.183.117	上海交通大学闵行校区 D27-319
218.193.183.118-218.193.183.128	上海交通大学闵行校区 D27/D26
218.193.183.129	上海交通大学闵行校区 D27-325
218.193.183.130-218.193.183.131	上海交通大学闵行校区 D27/D26
218.193.183.132	上海交通大学闵行校区 D27-325
218.193.183.133-218.193.183.143	上海交通大学闵行校区 D27/D26
218.193.183.144	上海交通大学闵行校区 D27-325
218.193.183.145-218.193.183.161	上海交通大学闵行校区 D27/D26
218.193.183.162	上海交通大学闵行校区 D27-206
218.193.183.163-218.193.184.20	上海交通大学闵行校区 D27/D26
218.193.184.21	上海交通大学闵行校区 D26-511
218.193.184.22-218.193.184.40	上海交通大学闵行校区 D27/D26
218.193.184.41	上海交通大学闵行校区 D26楼521
218.193.184.42-218.193.184.129	上海交通大学闵行校区 D27/D26
218.193.184.130	上海交通大学闵行校区 D27-911
218.193.184.131-218.193.184.154	上海交通大学闵行校区 D27
218.193.184.155	上海交通大学闵行校区 D27-614
218.193.184.156-218.193.184.168	上海交通大学闵行校区 D27
218.193.184.169	上海交通大学闵行校区 D27-621
218.193.184.170-218.193.184.255	上海交通大学闵行校区 D27
218.193.185.0-218.193.185.255	上海交通大学闵行校区 D28
218.193.186.0-218.193.187.240	上海交通大学闵行校区 D29
218.193.187.241	上海交通大学闵行校区 D29-523
218.193.187.242-218.193.187.255	上海交通大学闵行校区 D29
218.193.188.0-218.193.188.56	上海交通大学闵行校区 D30
218.193.188.57-218.193.188.58	上海交通大学闵行校区 D30-414
218.193.188.59-218.193.188.66	上海交通大学闵行校区 D30
218.193.188.67	上海交通大学闵行校区 D30-403
218.193.188.68-218.193.188.95	上海交通大学闵行校区 D30
218.193.188.96	上海交通大学闵行校区 D30-413
218.193.188.97-218.193.188.106	上海交通大学闵行校区 D30
218.193.188.107	上海交通大学闵行校区 D30-413
218.193.188.108-218.193.188.255	上海交通大学闵行校区 D30
218.193.189.0-218.193.189.255	上海交通大学闵行校区 D31
218.193.190.0-218.193.190.255	上海交通大学闵行校区 D32
218.193.191.0-218.193.191.255	上海交通大学闵行校区 D33
219.228.96.0-219.228.96.202	上海交通大学 闵行校区西35幢
219.228.96.203	上海交通大学 闵行校区西36幢104
219.228.96.204-219.228.96.255	上海交通大学 闵行校区西35幢
219.228.97.0-219.228.97.255	上海交通大学 闵行校区西37栋
219.228.98.0-219.228.98.255	上海交通大学 闵行校区37/38舍
219.228.99.0-219.228.101.135	上海交通大学
219.228.101.136	上海交通大学 闵行校区西42栋2034
219.228.101.137-219.228.101.140	上海交通大学 闵行42楼
219.228.101.141	上海交通大学 闵行校区西42舍203
219.228.101.142-219.228.101.196	上海交通大学 闵行42楼
219.228.101.197	上海交通大学 闵行校区西42栋3013D
219.228.101.198-219.228.101.255	上海交通大学 闵行42楼
219.228.102.0-219.228.103.255	上海交通大学 闵行校区无线网络
219.228.104.0-219.228.104.255	上海交通大学
219.228.105.0-219.228.105.255	上海交通大学 闵行47
219.228.106.0-219.228.109.255	上海交通大学
219.228.110.0-219.228.110.255	上海交通大学 闵行校区西52舍
219.228.111.0-219.228.111.255	上海交通大学 西53
219.228.112.0-219.228.112.255	上海交通大学 研究生57栋
219.228.113.0-219.228.113.255	上海交通大学 西55
219.228.114.0-219.228.114.255	上海交通大学
219.228.115.0-219.228.115.255	上海交通大学 闵行校区西58舍
219.228.116.0-219.228.117.255	上海交通大学 闵行校区西59#
219.228.118.0-219.228.119.255	上海交通大学
219.228.120.0-219.228.120.255	上海交通大学 闵行校区西65#
219.228.121.0-219.228.121.255	上海交通大学 闵行校区西66#
219.228.122.0-219.228.124.255	上海交通大学
219.228.125.0-219.228.125.255	上海交通大学 闵行校区68#
219.228.126.0-219.228.126.255	上海交通大学 闵行校区西70
222.66.71.116-222.66.71.119	上海市 上海交通大学闵行校区
